model,cyclic_entropy
mpt-7b,0.46318264372026535
mpt-7b,0.39971758227467735
mpt-7b,0.39971758227467735
-network-weights-llama.var-llama_2-Llama-2-7b-chat-hf,0.8088204925131147
-network-weights-llama.var-llama_2-Llama-2-7b-chat-hf,0.6918059414761605
-network-weights-llama.var-llama_2-Llama-2-7b-chat-hf,0.6918059414761605
falcon-7b,0.18228830319562989
falcon-7b,0.16188031422020577
falcon-7b,0.16188031422020577
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.991461814918831
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.9375134283612536
-network-weights-llama.var-llama_2-Llama-2-13b-chat-hf,0.9375134283612536
mosaicml-mpt-7b,0.6910005720314414
mosaicml-mpt-7b,0.704717505033786
mosaicml-mpt-7b,0.704717505033786
meta-llama-Llama-2-7b-chat-hf,0.9644857366667317
meta-llama-Llama-2-7b-chat-hf,0.9811244784172686
meta-llama-Llama-2-7b-chat-hf,0.9811244784172686
-network-weights-llama.var-llama_2-Llama-2-7b-hf,0.8833215842423338
-network-weights-llama.var-llama_2-Llama-2-7b-hf,0.8091126739281989
-network-weights-llama.var-llama_2-Llama-2-7b-hf,0.8091126739281989
facebook-opt-2.7b,0.5482776525810394
facebook-opt-2.7b,0.5088173402052608
facebook-opt-2.7b,0.5088173402052608
meta-llama-Llama-2-7b-hf,0.9442761977583488
meta-llama-Llama-2-7b-hf,0.9592198179950598
meta-llama-Llama-2-7b-hf,0.9592198179950598
facebook-opt-1.3b,0.3044340711301803
facebook-opt-1.3b,0.2698684804651279
facebook-opt-1.3b,0.2698684804651279
-network-weights-llama.var-llama_2-Llama-2-13b-hf,0.7602957692299164
-network-weights-llama.var-llama_2-Llama-2-13b-hf,0.8339378912224327
-network-weights-llama.var-llama_2-Llama-2-13b-hf,0.8339378912224327
mosaicml-mpt-7b-instruct,0.9906790822307041
mosaicml-mpt-7b-instruct,0.9630716375736116
mosaicml-mpt-7b-instruct,0.9630716375736116
